Date,AAPL High,AAPL Low,AAPL Open,AAPL Close,AAPL Volume,AAPL Adj. Close,MSFT High,MSFT Low,MSFT Open,MSFT Close,MSFT Volume,MSFT Adj. Close,AMZN High,AMZN Low,AMZN Open,AMZN Close,AMZN Volume,AMZN Adj. Close,GOOG High,GOOG Low,GOOG Open,GOOG Close,GOOG Volume,GOOG Adj. Close,FB High,FB Low,FB Open,FB Close,FB Volume,FB Adj. Close,AAPL 2019-2021 Return,MSFT 2019-2021 Return,AMZN 2019-2021 Return,GOOGL 2019-2021 Return,FB 2019-2021 Return
1/2/2019,39.71250153,38.55749893,38.72249985,39.47999954,148158800,38.50502396,101.75,98.94000244,99.55000305,101.1200027,35329300,98.37548065,1553.359985,1460.930054,1465.199951,1539.130005,7983100,1539.130005,1052.319946,1015.710022,1016.570007,1045.849976,1532600,1045.849976,137.5099945,128.5599976,128.9900055,135.6799927,28146200,135.6799927,3.383485395,2.517404971,2.24704865,2.27557486,2.263414082
1/3/2019,36.43000031,35.5,35.99499893,35.54750061,365248800,34.66963959,100.1900024,97.19999695,100.0999985,97.40000153,42579100,94.75645447,1538,1497.109985,1520.01001,1500.280029,6975600,1500.280029,1056.97998,1014.070007,1041,1016.059998,1841100,1016.059998,137.1699982,131.1199951,134.6900024,131.7400055,22717900,131.7400055,,,,,
1/4/2019,37.13750076,35.95000076,36.13249969,37.06499863,234428400,36.14966202,102.5100021,98.93000031,99.72000122,101.9300003,44060600,99.16351318,1594,1518.310059,1530,1575.390015,9182600,1575.390015,1070.839966,1027.417969,1032.589966,1070.709961,2093900,1070.709961,138,133.75,134.0099945,137.9499969,29002100,137.9499969,,,,,
1/7/2019,37.20750046,36.47499847,37.17499924,36.98249817,219111200,36.06920242,103.2699966,100.9800034,101.6399994,102.0599976,35656100,99.2899704,1634.560059,1589.189941,1602.310059,1629.51001,7993200,1629.51001,1074,1054.76001,1071.5,1068.390015,1981900,1068.390015,138.8699951,135.9100037,137.5599976,138.0500031,20089300,138.0500031,,,,,
1/8/2019,37.95500183,37.13000107,37.38999939,37.6875,164101200,36.75679398,103.9700012,101.7099991,103.0400009,102.8000031,31514400,100.0098877,1676.609985,1616.609985,1664.689941,1656.579956,8881400,1656.579956,1084.560059,1060.530029,1076.109985,1076.280029,1764900,1076.280029,143.1399994,139.5399933,139.8899994,142.5299988,26263800,142.5299988,,,,,
1/9/2019,38.63249969,37.40750122,37.82249832,38.32749939,180396400,37.38098526,104.8799973,103.2399979,103.8600006,104.2699966,32280800,101.4399948,1667.800049,1641.400024,1652.97998,1659.420044,6348800,1659.420044,1082.630005,1066.400024,1081.650024,1074.660034,1199300,1074.660034,144.6999969,141.2700043,142.9499969,144.2299957,22205900,144.2299957,,,,,
1/10/2019,38.49250031,37.71500015,38.125,38.45000076,143122800,37.50046539,103.75,102.3799973,103.2200012,103.5999985,30067600,100.7881927,1663.25,1621.619995,1641.01001,1656.219971,6507700,1656.219971,1071.150024,1057.709961,1067.660034,1070.329956,1456400,1070.329956,144.5599976,140.8399963,143.0800018,144.1999969,16125000,144.1999969,,,,,
1/11/2019,38.42499924,37.87749863,38.22000122,38.07249832,108092800,37.13228989,103.4400024,101.6399994,103.1900024,102.8000031,28314200,100.0098877,1660.290039,1636.219971,1640.550049,1640.560059,4686200,1640.560059,1063.775024,1048.47998,1063.180054,1057.189941,1520800,1057.189941,145.3600006,142.5700073,143.1499939,143.8000031,12908000,143.8000031,,,,,
1/14/2019,37.81750107,37.30500031,37.71250153,37.5,129756800,36.5739212,102.8700027,101.2600021,101.9000015,102.0500031,28437100,99.28025055,1648.199951,1595.150024,1615,1617.209961,6005900,1617.209961,1051.530029,1041.255005,1046.920044,1044.689941,1144300,1044.689941,146.5700073,141.2700043,142,145.3899994,20520300,145.3899994,,,,,
1/15/2019,38.34749985,37.51250076,37.56750107,38.26750183,114843600,37.32247162,105.0500031,101.8799973,102.5100021,105.0100021,31587600,102.1599197,1675.160034,1626.01001,1632,1674.560059,5998500,1674.560059,1080.050049,1047.339966,1050.170044,1077.150024,1463600,1077.150024,150.6799927,145.9900055,146.0099945,148.9499969,24069000,148.9499969,,,,,
