Ticker,Dates,Market Cap
ZM US Equity,5/7/21,86936.45
ZM US Equity,5/6/21,86291.58
ZM US Equity,5/5/21,87406.36
ZM US Equity,5/4/21,89538.73
ZM US Equity,5/3/21,92202.71
ZM US Equity,4/30/21,93862.2
ZM US Equity,4/29/21,94311.58
ZM US Equity,4/28/21,97292.78
ZM US Equity,4/27/21,97950.7
ZM US Equity,4/26/21,98811.28
ZM US Equity,4/23/21,98946.39
ZM US Equity,4/22/21,96432.2
ZM US Equity,4/21/21,94799.15
ZM US Equity,4/20/21,94511.31
ZM US Equity,4/19/21,95260.28
ZM US Equity,4/16/21,96910.95
ZM US Equity,4/15/21,97624.67
ZM US Equity,4/14/21,96690.66
ZM US Equity,4/13/21,100670.49
ZM US Equity,4/12/21,94432
ZM US Equity,4/9/21,94766.84
ZM US Equity,4/8/21,97301.59
ZM US Equity,4/7/21,94893.13
ZM US Equity,4/6/21,96863.95
ZM US Equity,4/5/21,95151.6
ZM US Equity,4/1/21,95818.33
ZM US Equity,3/31/21,94367.39
ZM US Equity,3/30/21,91988.3
ZM US Equity,3/29/21,90578.47
ZM US Equity,3/26/21,93973.81
ZM US Equity,3/25/21,92475.87
ZM US Equity,3/24/21,92508.18
ZM US Equity,3/23/21,99792.28
ZM US Equity,3/22/21,96485.06
ZM US Equity,3/19/21,95827.14
ZM US Equity,3/18/21,92907.63
ZM US Equity,3/17/21,98243.87
ZM US Equity,3/16/21,97785.7
ZM US Equity,3/15/21,102139.78
ZM US Equity,3/12/21,101086.28
ZM US Equity,3/11/21,103648.53
ZM US Equity,3/10/21,98062.94
ZM US Equity,3/9/21,99837.25
ZM US Equity,3/8/21,90738.06
ZM US Equity,3/5/21,98471.5
ZM US Equity,3/4/21,100123.25
ZM US Equity,3/3/21,99679.67
ZM US Equity,3/2/21,108790.53
ZM US Equity,3/1/21,119550.23
ZM US Equity,2/26/21,109029.83
ZM US Equity,2/25/21,106438.4
ZM US Equity,2/24/21,112420.87
ZM US Equity,2/23/21,113275.93
ZM US Equity,2/22/21,115079.43
ZM US Equity,2/19/21,121768.12
ZM US Equity,2/18/21,121957.81
ZM US Equity,2/17/21,125316.75
ZM US Equity,2/16/21,129720.43
ZM US Equity,2/12/21,126393.6
ZM US Equity,2/11/21,126294.37
ZM US Equity,2/10/21,125777.84
ZM US Equity,2/9/21,125494.77
ZM US Equity,2/8/21,119885.83
ZM US Equity,2/5/21,122448.08
ZM US Equity,2/4/21,113807.06
ZM US Equity,2/3/21,111031.77
ZM US Equity,2/2/21,114349.86
ZM US Equity,2/1/21,111457.84
ZM US Equity,1/29/21,108580.42
ZM US Equity,1/28/21,110483.14
ZM US Equity,1/27/21,108192.29
ZM US Equity,1/26/21,109257.46
ZM US Equity,1/25/21,114346.94
ZM US Equity,1/22/21,111886.83
ZM US Equity,1/21/21,111714.65
ZM US Equity,1/20/21,111711.73
ZM US Equity,1/19/21,114942.27
ZM US Equity,1/15/21,112216.59
ZM US Equity,1/14/21,111558.34
ZM US Equity,1/13/21,106163.52
ZM US Equity,1/12/21,102050.18
ZM US Equity,1/11/21,96587.44
ZM US Equity,1/8/21,99990.93
ZM US Equity,1/7/21,97957.42
ZM US Equity,1/6/21,98503.69
ZM US Equity,1/5/21,103199.92
ZM US Equity,1/4/21,102956.82
MRNA US Equity,5/7/21,65509.2588
MRNA US Equity,5/6/21,64445.2101
MRNA US Equity,5/5/21,65221.554
MRNA US Equity,5/4/21,69527.2019
MRNA US Equity,5/3/21,74505.7325
MRNA US Equity,4/30/21,71621.9497
MRNA US Equity,4/29/21,70360.2947
MRNA US Equity,4/28/21,71565.8761
MRNA US Equity,4/27/21,73460.3612
MRNA US Equity,4/26/21,71137.314
MRNA US Equity,4/23/21,69543.2229
MRNA US Equity,4/22/21,67328.3176
MRNA US Equity,4/21/21,67889.0531
MRNA US Equity,4/20/21,62794.3702
MRNA US Equity,4/19/21,64849.0654
MRNA US Equity,4/16/21,68413.7414
MRNA US Equity,4/15/21,64031.9936
MRNA US Equity,4/14/21,64096.0777
MRNA US Equity,4/13/21,59962.6557
MRNA US Equity,4/12/21,55833.2389
MRNA US Equity,4/9/21,56442.0375
MRNA US Equity,4/8/21,53622.3388
MRNA US Equity,4/7/21,52657.0726
MRNA US Equity,4/6/21,53482.1549
MRNA US Equity,4/5/21,52032.253
MRNA US Equity,4/1/21,53089.64
MRNA US Equity,3/31/21,52448.7994
MRNA US Equity,3/30/21,47458.2531
MRNA US Equity,3/29/21,49432.8433
MRNA US Equity,3/26/21,53382.0236
MRNA US Equity,3/25/21,53402.0498
MRNA US Equity,3/24/21,52713.1462
MRNA US Equity,3/23/21,54679.7258
MRNA US Equity,3/22/21,58316.4963
MRNA US Equity,3/19/21,57571.5191
MRNA US Equity,3/18/21,56658.3212
MRNA US Equity,3/17/21,59097.5209
MRNA US Equity,3/16/21,62489.9709
MRNA US Equity,3/15/21,57539.4771
