Ticker,Dates,Market Cap
RTP US Equity,5/7/21,683.10
RTP US Equity,5/6/21,683.10
RTP US Equity,5/5/21,683.79
RTP US Equity,5/4/21,683.79
RTP US Equity,5/3/21,686.55
RTP US Equity,4/30/21,683.10
RTP US Equity,4/29/21,685.86
RTP US Equity,4/28/21,688.62
RTP US Equity,4/27/21,694.83
RTP US Equity,4/26/21,692.76
RTP US Equity,4/23/21,688.62
RTP US Equity,4/22/21,692.07
RTP US Equity,4/21/21,690.69
RTP US Equity,4/20/21,686.55
RTP US Equity,4/19/21,689.31
RTP US Equity,4/16/21,694.83
RTP US Equity,4/15/21,696.90
RTP US Equity,4/14/21,697.59
RTP US Equity,4/13/21,698.28
RTP US Equity,4/12/21,698.28
RTP US Equity,4/9/21,701.73
RTP US Equity,4/8/21,710.01
RTP US Equity,4/7/21,697.59
RTP US Equity,4/6/21,700.35
RTP US Equity,4/5/21,698.28
RTP US Equity,4/1/21,701.73
RTP US Equity,3/31/21,700.35
RTP US Equity,3/30/21,703.11
RTP US Equity,3/29/21,710.01
RTP US Equity,3/26/21,702.42
RTP US Equity,3/25/21,696.90
RTP US Equity,3/24/21,702.42
RTP US Equity,3/23/21,714.15
RTP US Equity,3/22/21,730.71
RTP US Equity,3/19/21,727.95
RTP US Equity,3/18/21,736.23
RTP US Equity,3/17/21,754.17
RTP US Equity,3/16/21,740.37
RTP US Equity,3/15/21,751.41
RTP US Equity,3/12/21,759.69
RTP US Equity,3/11/21,778.32
RTP US Equity,3/10/21,757.62
RTP US Equity,3/9/21,748.65
RTP US Equity,3/8/21,737.61
RTP US Equity,3/5/21,760.38
RTP US Equity,3/4/21,734.85
RTP US Equity,3/3/21,738.99
RTP US Equity,3/2/21,973.76
RTP US Equity,3/1/21,1026.38
RTP US Equity,2/26/21,1012.58
RTP US Equity,2/25/21,1035.00
RTP US Equity,2/24/21,1160.93
RTP US Equity,2/23/21,1116.08
RTP US Equity,2/22/21,1261.84
RTP US Equity,2/19/21,1304.10
RTP US Equity,2/18/21,1287.71
RTP US Equity,2/17/21,1322.21
RTP US Equity,2/16/21,1354.13
RTP US Equity,2/12/21,1249.76
RTP US Equity,2/11/21,1176.45
RTP US Equity,2/10/21,1158.34
RTP US Equity,2/9/21,1180.76
RTP US Equity,2/8/21,1202.33
RTP US Equity,2/5/21,1122.98
RTP US Equity,2/4/21,1097.96
RTP US Equity,2/3/21,1122.98
RTP US Equity,2/2/21,1104.86
RTP US Equity,2/1/21,1102.28
RTP US Equity,1/29/21,1057.43
RTP US Equity,1/28/21,1051.39
RTP US Equity,1/27/21,1045.35
RTP US Equity,1/26/21,1098.83
RTP US Equity,1/25/21,1160.06
RTP US Equity,1/22/21,1203.19
RTP US Equity,1/21/21,1182.49
RTP US Equity,1/20/21,1166.10
RTP US Equity,1/19/21,1043.63
RTP US Equity,1/15/21,1026.38
RTP US Equity,1/14/21,1053.98
RTP US Equity,1/13/21,1049.66
RTP US Equity,1/12/21,1032.41
RTP US Equity,1/11/21,1016.89
RTP US Equity,1/8/21,1013.44
RTP US Equity,1/7/21,989.29
RTP US Equity,1/6/21,963.41
RTP US Equity,1/5/21,989.29
RTP US Equity,1/4/21,999.64
MIT US Equity,5/7/21,606.875
MIT US Equity,5/6/21,606.875
MIT US Equity,5/5/21,607.4938
MIT US Equity,5/4/21,609.375
MIT US Equity,5/3/21,611.875
MIT US Equity,4/30/21,611.875
MIT US Equity,4/29/21,611.25
MIT US Equity,4/28/21,610.625
MIT US Equity,4/27/21,607.5
MIT US Equity,4/26/21,613.3687
MIT US Equity,4/23/21,610
MIT US Equity,4/22/21,609.375
MIT US Equity,4/21/21,603.125
MIT US Equity,4/20/21,610.625
MIT US Equity,4/19/21,614.375
MIT US Equity,4/16/21,615
MIT US Equity,4/15/21,614.375
MIT US Equity,4/14/21,615.625
MIT US Equity,4/13/21,614.375
MIT US Equity,4/12/21,615
MIT US Equity,4/9/21,609.375
MIT US Equity,4/8/21,605.625
MIT US Equity,4/7/21,600.625
MIT US Equity,4/6/21,612.5
MIT US Equity,4/5/21,607.5
MIT US Equity,4/1/21,606.25
MIT US Equity,3/31/21,606.875
MIT US Equity,3/30/21,611.0437
MIT US Equity,3/29/21,618.75
MIT US Equity,3/26/21,610.625
MIT US Equity,3/25/21,606.25
MIT US Equity,3/24/21,603.125
MIT US Equity,3/23/21,610.3125
MIT US Equity,3/22/21,606.25
MIT US Equity,3/19/21,620.625
MIT US Equity,3/18/21,621.875
MIT US Equity,3/17/21,624.375
MIT US Equity,3/16/21,624.375
MIT US Equity,3/15/21,625
MIT US Equity,3/12/21,628.125
MIT US Equity,3/11/21,626.875
MIT US Equity,3/10/21,627.5
MIT US Equity,3/9/21,627.5
MIT US Equity,3/8/21,626.875
MIT US Equity,3/5/21,630
MIT US Equity,3/4/21,622.5063
MIT US Equity,3/3/21,627.5
MIT US Equity,3/2/21,626.25
MIT US Equity,3/1/21,635
MIT US Equity,2/26/21,637.5
MIT US Equity,2/25/21,640.625
MIT US Equity,2/24/21,646.875
MIT US Equity,2/23/21,648.75
MIT US Equity,2/22/21,652.5
MIT US Equity,2/19/21,646.875
MIT US Equity,2/18/21,646.25
MIT US Equity,2/17/21,646.875
