ticker,c_name,last_sale,market_cap,ipo_year,sector,industry
AAOI,Applied Optoelectronics Inc. Common Stock,$7.58,202382566.0,2013.0,Technology,Semiconductors
AAPL,Apple Inc. Common Stock,$130.21,2257495041400.0,1980.0,Technology,Computer Manufacturing
ABM,ABM Industries Incorporated Common Stock,$52.81,3543006846.0,,Technology,Diversified Commercial Services
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,$10.04,288650000.0,2020.0,Technology,Semiconductors
ACEVU,ACE Convergence Acquisition Corp. Unit,$11.00,0.0,2020.0,Technology,Semiconductors
ACEVW,ACE Convergence Acquisition Corp. Warrant,$1.95,0.0,2020.0,Technology,Semiconductors
ACIW,ACI Worldwide Inc. Common Stock,$38.33,4528019453.0,,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,$41.02,1385432410.0,2000.0,Technology,Industrial Machinery/Components
ACMR,ACM Research Inc. Class A Common Stock,$76.07,1447827682.0,2017.0,Technology,Industrial Machinery/Components
ACVA,ACV Auctions Inc. Class A Common Stock,$33.08,5099317164.0,2021.0,Technology,EDP Services
ACY,AeroCentury Corp. Common Stock,$7.82,12088813.0,,Technology,Diversified Commercial Services
ADBE,Adobe Inc. Common Stock,$488.73,233612940000.0,1986.0,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$157.26,58092404160.0,,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$285.76,62885188306.0,,Technology,Computer Software: Prepackaged Software
ADV,Advantage Solutions Inc. Class A Common Stock,$12.96,4127111559.0,2019.0,Technology,Advertising
ADVWW,Advantage Solutions Inc. Warrant,$3.56,0.0,2019.0,Technology,Advertising
AEYE,AudioEye Inc. Common Stock,$20.34,218413239.0,,Technology,EDP Services
AFRM,Affirm Holdings Inc. Class A Common Stock,$54.00,13900002354.0,2021.0,Technology,EDP Services
AGYS,Agilysys Inc. Common Stock,$52.15,1232698337.0,,Technology,Computer Software: Prepackaged Software
AIRG,Airgain Inc. Common Stock,$21.51,215156915.0,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment
AL,Air Lease Corporation Class A Common Stock,$44.15,5037111557.0,2011.0,Technology,Diversified Commercial Services
ALF,ALFI Inc. Common Stock,$3.70,40937351.0,2021.0,Technology,EDP Services
