,ticker,c_name,last_sale,market_cap,ipo_year,sector,industry
0,AAL,American Airlines Group Inc. Common Stock,$21.57,13834633963.0,,Transportation,Air Freight/Delivery Services
1,AAPL,Apple Inc. Common Stock,$128.10,2220913254000.0,1980.0,Technology,Computer Manufacturing
2,ABMD,ABIOMED Inc. Common Stock,$300.79,13617048449.0,,Health Care,Medical/Dental Instruments
3,ABNB,Airbnb Inc. Class A Common Stock,$162.33,96813450806.0,2020.0,Capital Goods,Industrial Machinery/Components
4,ADBE,Adobe Inc. Common Stock,$486.69,232637820000.0,1986.0,Technology,Computer Software: Prepackaged Software
5,ADI,Analog Devices Inc. Common Stock,$153.93,56862290299.0,,Technology,Semiconductors
6,ADP,Automatic Data Processing Inc. Common Stock,$193.66,82405877851.0,,Miscellaneous,Business Services
7,ADSK,Autodesk Inc. Common Stock,$281.08,61723001998.0,,Technology,Computer Software: Prepackaged Software
8,AEP,American Electric Power Company Inc. Common Stock,$87.47,43713167488.0,,Public Utilities,Electric Utilities: Central
9,AFRM,Affirm Holdings Inc. Class A Common Stock,$57.60,14826669178.0,2021.0,Technology,EDP Services
10,AKAM,Akamai Technologies Inc. Common Stock,$108.51,17715569169.0,1999.0,Miscellaneous,Business Services
11,ALGN,Align Technology Inc. Common Stock,$569.25,45047931761.0,2001.0,Health Care,Industrial Specialties
12,ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$132.67,15594700457.0,2004.0,Health Care,Major Pharmaceuticals
13,ALXN,Alexion Pharmaceuticals Inc. Common Stock,$169.91,37553377369.0,1996.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
14,AMAT,Applied Materials Inc. Common Stock,$130.29,119562029801.0,1972.0,Capital Goods,Industrial Machinery/Components
15,AMD,Advanced Micro Devices Inc. Common Stock,$77.83,94565082562.0,,Technology,Semiconductors
16,AMGN,Amgen Inc. Common Stock,$249.35,143265036409.0,1983.0,Health Care,Major Pharmaceuticals
17,AMZN,Amazon.com Inc. Common Stock,$3270.54,1649410951537.0,1997.0,Consumer Services,Catalog/Specialty Distribution
18,ANSS,ANSYS Inc. Common Stock,$355.49,30975807782.0,1996.0,Technology,Computer Software: Prepackaged Software
19,APP,Applovin Corporation Class A Common Stock,$58.18,20825839878.0,2021.0,Technology,EDP Services
20,ATVI,Activision Blizzard Inc. Common Stock,$90.08,69993282667.0,,Technology,Computer Software: Prepackaged Software
21,AVGO,Broadcom Inc. Common Stock,$443.83,181216821349.0,2009.0,Technology,Semiconductors
22,BIIB,Biogen Inc. Common Stock,$271.57,40886153458.0,,Health Care,Major Pharmaceuticals
23,BKNG,Booking Holdings Inc. Common Stock,$2337.92,95977846557.0,,Transportation,Other Consumer Services
24,BLDR,Builders FirstSource Inc. Common Stock,$49.06,10127538270.0,2005.0,Consumer Services,RETAIL: Building Materials
25,BMRN,BioMarin Pharmaceutical Inc. Common Stock,$77.68,14195443071.0,1999.0,Health Care,Major Pharmaceuticals
26,BRKR,Bruker Corporation Common Stock,$69.01,10457791962.0,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
27,BSY,Bentley Systems Incorporated Class B Common Stock,$50.29,13859915199.0,2020.0,Technology,Retail: Computer Software & Peripheral Equipment
28,CDNS,Cadence Design Systems Inc. Common Stock,$126.89,35309045850.0,,,
29,CDW,CDW Corporation Common Stock,$171.40,24085795260.0,2013.0,,
30,CERN,Cerner Corporation Common Stock,$74.60,22547626200.0,1986.0,,
31,CG,The Carlyle Group Inc. Common Stock,$44.14,15650835094.0,2012.0,,
32,CGNX,Cognex Corporation Common Stock,$79.88,14107573410.0,1989.0,,
33,CHRW,C.H. Robinson Worldwide Inc. Common Stock,$98.87,13148589803.0,1997.0,,
34,CHTR,Charter Communications Inc. Class A Common Stock New,$673.75,138050820504.0,,,
35,CINF,Cincinnati Financial Corporation Common Stock,$117.68,18957851654.0,,,
36,CMCSA,Comcast Corporation Class A Common Stock,$56.41,259163853490.0,,,
37,CME,CME Group Inc. Class A Common Stock,$203.06,72909951160.0,2002.0,,
38,COIN,Coinbase Global Inc. Class A Common Stock,$273.00,54381600000.0,,,
