ticker,ipo_year
AAOI,2013
AAPL,1980
ACEV,2020
ACEVU,2020
ACEVW,2020
ACLS,2000
ACMR,2017
ACN,2001
ACVA,2021
ADBE,1986
ADV,2019
ADVWW,2019
AER,2006
AFRM,2021
AGMH,2018
AI,2020
AIRG,2016
AL,2011
ALF,2021
ALGM,2020
ALKT,2021
ALOT,1983
ALRM,2015
ALTG,2019
ALTR,2017
AMBA,2012
AMKR,1998
AMST,2020
AMWL,2020
ANET,2014
ANSS,1996
AOSL,2010
API,2020
APP,2021
APPF,2015
APPN,2017
ARRY,2020
ASAN,2020
ASGN,1992
ASML,1995
ASX,2018
ATEN,2014
ATKR,2016
ATOM,2016
AUUD,2021
AUUDW,2021
AVCT,2017
AVGO,2009
AVID,1993
AVLR,2018
AWRE,1996
AXTI,1998
AYX,2017
AZPN,1994
BAND,2017
BBSI,1993
BCOV,2012
BIDU,2005
BIGC,2020
BILI,2018
BILL,2019
BKI,2017
BL,2016
BLCT,2020
BLKB,2004
BMBL,2021
BMTX,2018
BNFT,2013
BOX,2015
BRKS,1995
BSQR,1999
BSY,2020
BTRS,2019
CALX,2010
CAN,2019
CANG,2018
CASA,2017
CCMP,2000
CCO,2005
CCRN,2001
CDAY,2018
CDLX,2018
CDW,2013
CHKP,1996
CLDR,2017
CLIR,2012
CLPS,2018
CMBM,2019
CMCM,2014
COMM,2013
COMP,2021
COUP,2016
CPSI,2002
CREE,1993
CRM,2004
CRSR,2020
CRTO,2013
CRUS,1989
CRWD,2019
CSCO,1990
CSGS,1996
CSOD,2011
CSPI,1982
CTEK,2017
CTK,2018
CTOS,2017
CTSH,1998
CTXS,1995
CVLT,2006
CYBR,2014
DAVA,2018
DBX,2018
DCT,2020
DDOG,2019
DELL,2018
DGII,1989
DHX,2007
DLB,2005
DM,2019
DMS,2018
DNB,2020
DOCN,2021
DOCU,2018
DOMO,2018
DOYU,2019
DQ,2010
DSP,2021
DSPG,1994
DT,2019
DUO,2019
DV,2021
EB,2018
EBON,2020
ECOM          ,2013
EEFT,1997
EEX,2017
EGAN,1999
ELTK,1997
EMKR,1997
ENTG,2000
ENV,2010
EPAM,2012
EPAY,1999
ERII,2008
ESTC,2018
ETWO,2020
EVBG,2016
EVER,2018
EVOL,1998
EVOP,2018
EVTC,2013
EXLS,2006
EXTN,2015
FB,2012
FDS,1996
FEYE,2013
FFIV,1999
FISV,1986
FIVN,2014
FLEX,1994
FLT,2010
FLY,2007
FORM,2003
FOUR,2020
FROG,2020
FSLR,2006
FSLY,2019
FSRVW,2019
FTAI,2015
FTCI,2021
GAN,2020
GB,2000
GDDY,2015
GDOT,2010
GDRX,2020
GDS,2016
GDYN,2018
GLG,2013
GOOG,2004
GRPN,2011
GSIT,2007
GSKY,2018
GSMG,2018
GTLS,2006
GTYH,2016
GWRE,2012
HAYW,2021
HEES,2006
HHR,2019
HIMX,2006
HLIT,1995
HRI,2016
