ticker,market_cap,ipo_year
AAOI,194375372.0,2013
AAPL,2218454819188.0,1980
ACEV,286847375.0,2020
ACEVU,0.0,2020
ACEVW,0.0,2020
ACLS,1345476050.0,2000
ACMR,1332869365.0,2017
ACN,185812390966.0,2001
ACVA,5387579652.0,2021
ADBE,231323320000.0,1986
ADV,4028392070.0,2019
ADVWW,0.0,2019
AER,7751245007.0,2006
AFRM,13570520817.0,2021
AGMH,342067202.0,2018
AI,5458384551.0,2020
AIRG,196151888.0,2016
AL,5208818305.0,2011
ALF,47526400.0,2021
ALGM,4559670218.0,2020
ALKT,3320240432.0,2021
ALOT,109997899.0,1983
ALRM,4078184449.0,2015
ALTG,422785742.0,2019
ALTR,4944737721.0,2017
AMBA,3162505300.0,2012
AMKR,4761583067.0,1998
AMST,53121966.0,2020
AMWL,3128022571.0,2020
ANET,25049803422.0,2014
ANSS,28772220310.0,1996
AOSL,745426117.0,2010
API,4756489772.0,2020
APP,20367657082.0,2021
APPF,4478417790.0,2015
APPN,6153314224.0,2017
ARRY,3185021232.0,2020
ASAN,4529724217.0,2020
ASGN,5665578587.0,1992
ASML,265796806392.0,1995
ASX,16816831860.0,2018
ATEN,690219427.0,2014
ATKR,4190999292.0,2016
ATOM,343684883.0,2016
AUUD,29020001.0,2021
AUUDW,0.0,2021
AVCT,129792836.0,2017
AVGO,180016412510.0,2009
AVID,1231918773.0,1993
AVLR,10465363520.0,2018
AWRE,74799941.0,1996
AXTI,386005038.0,1998
AYX,5236761218.0,2017
AZPN,8597766543.0,1994
BAND,2962221628.0,2017
BBSI,594398293.0,1993
BCOV,548341429.0,2012
BIDU,63794594865.0,2005
BIGC,3390705724.0,2020
BILI,35774259170.0,2018
BILL,11720271583.0,2019
BKI,12008429362.0,2017
BL,6040617209.0,2016
BLCT,242264190.0,2020
BLKB,3249392041.0,2004
BMBL,6436168751.0,2021
BMTX,111388757.0,2018
BNFT,443260391.0,2013
BOX,3578757204.0,2015
BRKS,6796336480.0,1995
BSQR,31824265.0,1999
BSY,12927009792.0,2020
BTRS,2197840095.0,2019
CALX,2839093453.0,2010
CAN,1676370369.0,2019
CANG,779396731.0,2018
CASA,697277746.0,2017
