Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$22.40,1.19,5.611%,14366981955.00,United States,,39133071,Transportation,Air Freight/Delivery Services
AAPL,Apple Inc. Common Stock,$127.45,2.48,1.984%,2209643983000.00,United States,1980,81804093,Technology,Computer Manufacturing
ABMD,ABIOMED Inc. Common Stock,$268.56,5.85,2.227%,12157965795.00,United States,,262405,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,$141.20,5.45,4.015%,84211539788.00,United States,2020,20299623,Capital Goods,Industrial Machinery/Components
ADBE,Adobe Inc. Common Stock,$486.56,12.40,2.615%,232575680000.00,United States,1986,1857101,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$149.61,2.98,2.032%,55266466911.00,United States,,4852061,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$194.64,2.12,1.101%,82822885805.00,United States,,1047154,Miscellaneous,Business Services
ADSK,Autodesk Inc. Common Stock,$277.63,7.91,2.933%,61096076531.00,United States,,1154253,Technology,Computer Software: Prepackaged Software
AEP,American Electric Power Company Inc. Common Stock,$86.76,0.24,0.277%,43358344704.00,United States,,2193732,Public Utilities,Electric Utilities: Central
AFRM,Affirm Holdings Inc. Class A Common Stock,$54.00,5.63,11.639%,14291538372.00,United States,2021,3884080,Technology,EDP Services
AKAM,Akamai Technologies Inc. Common Stock,$113.16,2.12,1.909%,18444139075.00,United States,1999,1257921,Miscellaneous,Business Services
ALGN,Align Technology Inc. Common Stock,$569.04,15.42,2.785%,45031876638.00,United States,2001,366967,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$135.70,2.78,2.091%,15950861928.00,United States,2004,457714,Health Care,Major Pharmaceuticals
ALXN,Alexion Pharmaceuticals Inc. Common Stock,$173.49,0.16,0.092%,38344626213.00,United States,1996,1417826,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AMAT,Applied Materials Inc. Common Stock,$124.83,4.91,4.094%,114551601659.00,United States,1972,12419799,Capital Goods,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc. Common Stock,$74.59,1.50,2.052%,90628414600.00,United States,,38256145,Technology,Semiconductors
AMGN,Amgen Inc. Common Stock,$251.38,1.07,0.427%,144431381001.00,United States,1983,2286840,Health Care,Major Pharmaceuticals
AMZN,Amazon.com Inc. Common Stock,$3222.90,61.43,1.943%,1625384968754.00,United States,1997,3321358,Consumer Services,Catalog/Specialty Distribution
ANSS,ANSYS Inc. Common Stock,$326.47,8.80,2.77%,28452374037.00,United States,1996,462916,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$57.26,7.39,14.819%,20496520993.00,United States,2021,1198717,Technology,EDP Services
ATVI,Activision Blizzard Inc. Common Stock,$93.35,-0.07,-0.075%,72534514453.00,United States,,3655857,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,$441.62,11.02,2.559%,180314473208.00,United States,2009,1696355,Technology,Semiconductors
BIIB,Biogen Inc. Common Stock,$280.21,-1.50,-0.532%,42186946498.00,United States,,990992,Health Care,Major Pharmaceuticals
BKNG,Booking Holdings Inc. Common Stock,$2282.48,75.21,3.407%,93702224616.00,United States,,339996,Transportation,Other Consumer Services
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$76.93,1.42,1.881%,14058386141.00,United States,1999,933063,Health Care,Major Pharmaceuticals
BRKR,Bruker Corporation Common Stock,$68.55,1.02,1.51%,10386772365.00,United States,,615243,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BSY,Bentley Systems Incorporated Class B Common Stock,$49.96,1.85,3.845%,13824991052.00,United States,2020,1623735,Technology,Retail: Computer Software & Peripheral Equipment
CDNS,Cadence Design Systems Inc. Common Stock,$124.28,2.21,1.81%,34582774200.00,United States,,1253461,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$169.45,0.92,0.546%,23757490022.00,United States,2013,878311,Technology,EDP Services
CERN,Cerner Corporation Common Stock,$76.80,-0.07,-0.091%,23141150822.00,United States,1986,1972159,Health Care,Managed Health Care
CG,The Carlyle Group Inc. Common Stock,$43.51,1.06,2.497%,15427454348.00,United States,2012,1402994,Finance,Investment Managers
CGNX,Cognex Corporation Common Stock,$74.04,0.87,1.189%,13076040105.00,United States,1989,1155339,Capital Goods,Industrial Machinery/Components
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$99.78,0.57,0.575%,13269609493.00,United States,1997,679846,Transportation,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$710.40,25.10,3.663%,145560375341.00,United States,,1089890,Consumer Services,Television Services
CINF,Cincinnati Financial Corporation Common Stock,$120.96,0.92,0.766%,19486248607.00,United States,,415744,Finance,Property-Casualty Insurers
CMCSA,Comcast Corporation Class A Common Stock,$58.68,1.29,2.248%,269592889963.00,United States,,15864406,Consumer Services,Television Services
CME,CME Group Inc. Class A Common Stock,$216.99,1.73,0.804%,77920497088.00,United States,2002,1162176,,
COIN,Coinbase Global Inc. Class A Common Stock,$258.37,-6.73,-2.539%,51467304000.00,United States,,11718828,Technology,EDP Services
COST,Costco Wholesale Corporation Common Stock,$384.42,4.89,1.288%,170118837630.00,United States,,1875045,Consumer Services,Department/Specialty Retail Stores
COUP,Coupa Software Incorporated Common Stock,$231.04,7.24,3.235%,16958551560.00,United States,2016,908255,Technology,Computer Software: Prepackaged Software
CPRT,Copart Inc. (DE) Common Stock,$124.13,3.64,3.021%,29334024865.00,United States,1994,741000,Miscellaneous,Business Services
CREE,Cree Inc. Common Stock,$91.82,3.58,4.057%,10602526193.00,United States,1993,1314019,Technology,Semiconductors
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$190.64,6.88,3.744%,42679764297.00,United States,2019,2376436,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$52.90,0.41,0.781%,223332455436.00,United States,1990,14788515,Technology,Computer peripheral equipment
CSGP,CoStar Group Inc. Common Stock,$821.90,11.09,1.368%,32459748745.00,United States,1998,249262,Finance,Real Estate
CSX,CSX Corporation Common Stock,$101.71,0.98,0.973%,77035175969.00,United States,,3593154,Transportation,Railroads
CTAS,Cintas Corporation Common Stock,$358.08,4.87,1.379%,37617448782.00,United States,1983,318315,Miscellaneous,Business Services
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$71.01,-0.28,-0.393%,37451517883.00,United States,1998,8012575,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$117.71,0.99,0.848%,14615702867.00,United States,1995,749443,Technology,Computer Software: Prepackaged Software
CZR,Caesars Entertainment Inc. Common Stock,$98.61,4.24,4.493%,20579771214.00,United States,,2591363,Consumer Services,Hotels/Resorts
DDOG,Datadog Inc. Class A Common Stock,$82.51,5.12,6.616%,25444718377.00,United States,2019,4463400,Technology,EDP Services
DISCA,Discovery Inc. Series A Common Stock,$35.65,0.42,1.192%,18014396186.00,United States,,4716363,Consumer Services,Television Services
DISCB,Discovery Inc. Series B Common Stock,$70.44,-0.81,-1.137%,35594223489.00,United States,,818,Consumer Services,Television Services
DISCK,Discovery Inc. Series C Common Stock,$30.74,0.18,0.589%,15533311045.00,United States,,3542135,Consumer Services,Television Services
DISH,DISH Network Corporation Class A Common Stock,$45.82,1.20,2.689%,24162949091.00,United States,1995,1845712,Consumer Services,Television Services
DKNG,DraftKings Inc. Class A Common Stock,$44.89,3.90,9.515%,18000032017.00,United States,2019,28397293,Consumer Services,Services-Misc. Amusement & Recreation
DLTR,Dollar Tree Inc. Common Stock,$111.23,1.65,1.506%,26028888920.00,United States,1995,1089944,Consumer Services,Department/Specialty Retail Stores
DOCU,DocuSign Inc. Common Stock,$187.08,6.92,3.841%,36397558181.00,United States,2018,2036970,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,$333.25,9.29,2.868%,32227232177.00,United States,2005,804798,Health Care,Medical/Dental Instruments
EA,Electronic Arts Inc. Common Stock,$138.62,-0.51,-0.367%,39870719863.00,United States,,2494404,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,$60.86,2.12,3.609%,41461583167.00,United States,1998,6562913,Consumer Services,Catalog/Specialty Distribution
ENPH,Enphase Energy Inc. Common Stock,$119.78,5.17,4.511%,16254012924.00,United States,2012,2484858,Capital Goods,Electrical Products
ENTG,Entegris Inc. Common Stock,$109.45,4.10,3.892%,14830583574.00,United States,2000,1026647,Technology,Semiconductors
EQIX,Equinix Inc. Common Stock REIT,$722.02,6.59,0.921%,64678483730.00,United States,2000,322651,Consumer Services,Real Estate Investment Trusts
ERIE,Erie Indemnity Company Class A Common Stock,$203.83,0.25,0.123%,10658243794.00,United States,,52171,Finance,Specialty Insurers
ETSY,Etsy Inc. Common Stock,$163.11,6.52,4.164%,20731704760.00,United States,2015,2328424,Consumer Services,Catalog/Specialty Distribution
EWBC,East West Bancorp Inc. Common Stock,$78.07,1.32,1.72%,11075275560.00,United States,,985845,Finance,Commercial Banks
EXAS,Exact Sciences Corporation Common Stock,$96.74,3.08,3.288%,16572823490.00,United States,2001,1407742,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXC,Exelon Corporation Common Stock,$45.09,0.68,1.531%,44060831346.00,United States,,5967980,Public Utilities,Power Generation
EXPD,Expeditors International of Washington Inc. Common Stock,$119.61,1.11,0.937%,20200431973.00,United States,,706422,Transportation,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,$171.80,4.08,2.433%,25249550454.00,United States,,2460469,Transportation,Other Consumer Services
FANG,Diamondback Energy Inc. Commmon Stock,$78.70,2.50,3.281%,14244492862.00,United States,2012,2573129,Energy,Oil & Gas Production
FAST,Fastenal Company Common Stock,$53.90,0.66,1.24%,30963530205.00,United States,1987,2205044,,
