,Ticker,Sustainalytics Score,Sector,MSCI ESG 2017,MSCI ESG 2018,MSCI ESG 2019,MSCI ESG 2020,MSCI ESG 2021,index_x,2019-2021 Returns,index_y,2017 Returns,index_x,2018 Returns,index_y,2019 Returns,index_x,2020 Returns,index_y,2021 Returns
0,AAPL,16.9,Tech,4.0,4.0,4.0,3.0,3.0,AAPL,3.3834853946274412,AAPL,1.4569952088191203,AAPL,0.9157088733501866,AAPL,1.8594857985138333,AAPL,1.7671383352084853,AAPL,1.0322231516184268
1,MSFT,14.6,Tech,6.0,6.0,6.0,6.0,6.0,MSFT,2.517404970770713,MSFT,1.3668903549484877,MSFT,1.1817336044350084,MSFT,1.5595331553091025,MSFT,1.3847590893441932,MSFT,1.1693692622706064
2,V,17.4,Tech,4.0,4.0,4.0,4.0,4.0,V,1.756319591966291,V,1.4342137942524076,V,1.1522137802813035,V,1.4136322335609561,V,1.1444642178513147,V,1.0720518131759675
3,NVDA,13.3,Tech,5.0,6.0,6.0,6.0,6.0,NVDA,4.485905166996479,NVDA,1.896872815879252,NVDA,0.6696764279539477,NVDA,1.7273528185521423,NVDA,2.176649594580894,NVDA,1.1649636499057547
4,MA,16.3,Tech,3.0,3.0,4.0,4.0,4.0,MA,2.0852217900391006,MA,1.4361894058917546,MA,1.2418536590657656,MA,1.5736797074597333,MA,1.1765054392281877,MA,1.1256365896299445
5,PYPL,17.7,Tech,3.0,4.0,4.0,4.0,4.0,PYPL,3.161399374202806,PYPL,1.8290683912194294,PYPL,1.1388136580220856,PYPL,1.2614577045941144,PYPL,2.114672658674873,PYPL,1.1688944397990697
6,INTC,16.9,Tech,5.0,4.0,4.0,4.0,5.0,INTC,1.2238741862978801,INTC,1.261202234203661,INTC,1.0017076165135603,INTC,1.2712403599492454,INTC,0.8188691579532331,INTC,1.1600563933161157
7,CSCO,12.5,Tech,4.0,4.0,4.0,4.0,5.0,CSCO,1.189988351628929,CSCO,1.2540929302195212,CSCO,1.115028336348312,CSCO,1.1166472231091602,CSCO,0.924204908968809,CSCO,1.1626478997904346
8,CRM,11.3,Tech,4.0,5.0,6.0,6.0,5.0,CRM,1.7475470272941513,CRM,1.4492486820258974,CRM,1.311847489862792,CRM,1.1998524214532604,CRM,1.332594715007698,CRM,1.0752122350680513
9,ACN,11.3,Tech,6.0,6.0,6.0,6.0,4.0,ACN,2.0646560678189645,ACN,1.3145285723971962,ACN,0.9166016501789614,ACN,1.4977595334602603,ACN,1.2429693030766629,ACN,1.1318334191885675
10,IBM,18.0,Tech,4.0,5.0,5.0,5.0,5.0,IBM,1.2412117102366398,IBM,0.9176385903978511,IBM,0.7369205715977005,IBM,1.1634406245229973,IBM,0.9295524956098022,IBM,1.153784066347784
11,AMAT,12.3,Tech,4.0,5.0,5.0,5.0,5.0,AMAT,4.052867511847723,AMAT,1.6005008790583932,AMAT,0.6172700059076024,AMAT,1.8231780689997619,AMAT,1.3874598391191313,AMAT,1.5619891579518235
12,MU,17.9,Tech,1.0,1.0,2.0,3.0,3.0,MU,2.626870191734256,MU,1.8235033402708385,MU,0.7265857767953886,MU,1.6421373673067747,MU,1.3572847288968521,MU,1.1617825149739096
13,AMD,18.4,Tech,3.0,3.0,3.0,3.0,3.0,AMD,4.46202851744515,AMD,0.899387529177594,AMD,1.6812386023754655,AMD,2.435475347645437,AMD,1.8678208133307748,AMD,0.9102924579097973
